Year,Operating Revenues (mils),Operating Profit (mils),NetMargin,NetProfit (mils)
2018,814200,50900,0.041021862,33400
2017,757600,59700,0.052930306,40100
2016,709000,65200,0.050211566,35600
2015,720500,59800,0.052047189,37500
2014,766900,41700,0.022558352,17300
2013,720200,25300,0.025131908,18100
2012,705500,18400,0.013040397,9200
2011,642300,19800,0.01292231,8300
2010,563500,27600,0.030700976,17300
2009,475800,1900,-0.009667928,-4600
2008,569500,-1100,-0.045829675,-26100
2007,509800,19900,0.028834837,14700
2006,465200,15000,0.010748065,5000
2005,413300,4400,-0.009920155,-4100
2004,378800,3300,-0.014783527,-5600
2003,321800,-1500,-0.023306401,-7500
2002,306000,-4800,-0.036928105,-11300
2001,307500,-11800,-0.042276423,-13000
2000,328500,10700,0.011263318,3700
1999,305500,12300,0.027823241,8500
1998,295500,15900,0.027749577,8200
1997,291000,16300,0.029381443,8550
1996,282500,12300,0.018761062,5300
1995,267000,13500,0.016853933,4500
1994,244700,7700,-0.000817327,-200
1993,226000,2300,-0.019469027,-4400
1992,217800,-1800,-0.036271809,-7900
1991,205500,-500,-0.01703163,-3500
1990,199500,-1500,-0.022556391,-4500
1989,177800,7600,0.019685039,3500
1988,166200,10200,0.030084236,5000
1987,147000,7200,0.017006803,2500
1986,124600,4600,0.012038523,1500
1985,112200,4100,0.018716578,2100
1984,105400,5100,0.018975332,2000
1983,98300,2100,-0.007121058,-700
1982,93240,-160,-0.013942514,-1300
1981,92992,-692,-0.012366655,-1150
1980,87676,-635,-0.010481774,-919
1979,70755,736,0.008310367,588
1978,58769,3100,0.041042046,2412
1977,50344,2629,0.032893691,1656
1976,43400,2156,0.019009217,825
1975,38309,730,-0.001748936,-67
1974,33079,792,0.001239457,41
1973,27438,1195,0.015817479,434
1972,23030,806,0.01016066,234
1971,20116,609,0.006860211,138
1970,17817,450,-0.000561262,-10
1969,16431,874,0.024891972,409
1968,14282,734,0.031228119,446
1967,12488,913,0.048766816,609
1966,10844,1025,0.060955367,661
1965,9347,887,0.05713063,534
1964,8119,619,0.045079443,366
1963,7153,329,0.014818957,106
1962,6570,97,-0.004109589,-27
1961,5795,-118,-0.02295082,-133
1960,5370,32,-0.018063315,-97
1959,4805,105,-0.005202914,-25
1958,4122,15,-0.011159631,-46
1957,3971,-41,-0.016620499,-66
1956,3510,84,0.004273504,15
1955,3025,78,-0.003636364,-11
1954,2560,32,-0.012890625,-33
1953,2314,-3,-0.02247191,-52
1952,2050,-13,-0.02195122,-45
1951,1804,24,-0.011640798,-21
1950,1543,41,-0.006480881,-10
1949,1397,-9,-0.030064424,-42
1948,1348,-49,-0.054896142,-74
1947,1050,-120,-0.128571429,-135
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,,,,
2011,,,,
2010,,,,
2009,,,,
2008,,,,
2007,,,,
2006,,,,
2005,,,,
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,,,,
1999,,,,
1998,,,,
1997,,,,
1996,,,,
1995,,,,
1994,,,,
1993,,,,
1992,,,,
1991,,,,
1990,,,,
1989,,,,
1988,,,,
1987,,,,
1986,,,,
1985,,,,
1984,,,,
1983,,,,
1982,,,,
1981,,,,
1980,,,,
1979,,,,
1978,,,,
1977,,,,
1976,,,,
1975,,,,
1974,,,,
1973,,,,
1972,,,,
1971,,,,
1970,,,,
1969,,,,
1968,,,,
1967,,,,
1966,,,,
1965,,,,
1964,,,,
1963,,,,
1962,,,,
1961,,,,
1960,,,,
1959,,,,
1958,,,,
1957,,,,
1956,,,,
1955,,,,
1954,,,,
1953,,,,
1952,,,,
1951,,,,
1950,,,,
1949,,,,
1948,,,,
1947,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,,,,
2011,,,,
2010,,,,
2009,,,,
2008,,,,
2007,,,,
2006,,,,
2005,,,,
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,,,,
1999,,,,
1998,,,,
1997,,,,
1996,,,,
1995,,,,
1994,,,,
1993,,,,
1992,,,,
1991,,,,
1990,,,,
1989,,,,
1988,,,,
1987,,,,
1986,,,,
1985,,,,
1984,,,,
1983,,,,
1982,,,,
1981,,,,
1980,,,,
1979,,,,
1978,,,,
1977,,,,
1976,,,,
1975,,,,
1974,,,,
1973,,,,
1972,,,,
1971,,,,
1970,,,,
1969,,,,
1968,,,,
1967,,,,
1966,,,,
1965,,,,
1964,,,,
1963,,,,
1962,,,,
1961,,,,
1960,,,,
1959,,,,
1958,,,,
1957,,,,
1956,,,,
1955,,,,
1954,,,,
1953,,,,
1952,,,,
1951,,,,
1950,,,,
1949,,,,
1948,,,,
1947,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,,,,
2011,,,,
2010,,,,
2009,,,,
2008,,,,
2007,,,,
2006,,,,
2005,,,,
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,,,,
1999,,,,
1998,,,,
1997,,,,
1996,,,,
1995,,,,
1994,,,,
1993,,,,
1992,,,,
1991,,,,
1990,,,,
1989,,,,
1988,,,,
1987,,,,
1986,,,,
1985,,,,
1984,,,,
1983,,,,
1982,,,,
1981,,,,
1980,,,,
1979,,,,
1978,,,,
1977,,,,
1976,,,,
1975,,,,
1974,,,,
1973,,,,
1972,,,,
1971,,,,
1970,,,,
1969,,,,
1968,,,,
1967,,,,
1966,,,,
1965,,,,
1964,,,,
1963,,,,
1962,,,,
1961,,,,
1960,,,,
1959,,,,
1958,,,,
1957,,,,
1956,,,,
1955,,,,
1954,,,,
1953,,,,
1952,,,,
1951,,,,
1950,,,,
1949,,,,
1948,,,,
1947,,,,
